Employee #,Password,Roles
10001,1234,Admin
10002,1234,Admin
10003,1234,Admin
10004,1234,Admin
10005,1234,Admin
10006,1234,Admin
10007,1234,User
10008,1234,User
10009,1234,User
10010,1234,User
10011,1234,User
10012,1234,User
10013,1234,User
10014,1234,User
10015,1234,User
10016,1234,User
10017,1234,User
10018,1234,User
10019,1234,User
10020,1234,User
10021,1234,User
10022,1234,User
10023,1234,User
10024,1234,User
10025,1234,User
10026,1234,User
10027,1234,User
10028,1234,User
10029,1234,User
10030,1234,User
10031,1234,User
10032,1234,User
10033,1234,User
10034,1234,User
